ukprn,year,measure,group,number,provider
10062833,2023/24,level,Other undergraduate,55,Raindance Educational Services Limited
10008455,2023/24,level,Other undergraduate,265,Regent College London
10005500,2023/24,level,Other undergraduate,1350,Robert Gordon University
10007776,2023/24,level,Other undergraduate,110,Roehampton University
10005523,2023/24,level,Other undergraduate,85,Rose Bruford College of Theatre and Performance
10007835,2023/24,level,Other undergraduate,0,Royal Academy of Music
10005545,2023/24,level,Other undergraduate,125,Royal Agricultural University
10007777,2023/24,level,Other undergraduate,170,Royal College of Art
10007778,2023/24,level,Other undergraduate,5,Royal College of Music
10005561,2023/24,level,Other undergraduate,5,Royal Conservatoire of Scotland
10007837,2023/24,level,Other undergraduate,10,Royal Northern College of Music
10007779,2023/24,level,Other undergraduate,130,The Royal Veterinary College
10007803,2023/24,level,Other undergraduate,685,The University of St. Andrews
10007782,2023/24,level,Other undergraduate,25,"St George's, University of London"
10007843,2023/24,level,Other undergraduate,1205,"St Mary's University, Twickenham"
10007156,2023/24,level,Other undergraduate,845,The University of Salford
10021256,2023/24,level,Other undergraduate,30,William Booth College
10008362,2023/24,level,Other undergraduate,155,London School of Science and Technology Limited
10007780,2023/24,level,Other undergraduate,20,SOAS University of London
10005700,2023/24,level,Other undergraduate,1060,SRUC
10005790,2023/24,level,Other undergraduate,960,Sheffield Hallam University
10007157,2023/24,level,Other undergraduate,600,The University of Sheffield
10007158,2023/24,level,Other undergraduate,10,The University of Southampton
10006022,2023/24,level,Other undergraduate,1015,Southampton Solent University
10006093,2023/24,level,Other undergraduate,65,Spurgeon's College
10006299,2023/24,level,Other undergraduate,2695,University of Staffordshire
10008098,2023/24,level,Other undergraduate,1890,Study Group
10007804,2023/24,level,Other undergraduate,255,The University of Stirling
10037449,2023/24,level,Other undergraduate,135,University of St Mark and St John
10090767,2023/24,level,Other undergraduate,105,St Padarn's Institute
10008010,2023/24,level,Other undergraduate,10,Stranmillis University College
10022944,2023/24,level,Other undergraduate,40,Stratford College London (SCL)
10007805,2023/24,level,Other undergraduate,1335,The University of Strathclyde
10014001,2023/24,level,Other undergraduate,595,University of Suffolk
10007159,2023/24,level,Other undergraduate,1665,The University of Sunderland
10007160,2023/24,level,Other undergraduate,120,The University of Surrey
10007806,2023/24,level,Other undergraduate,5,The University of Sussex
10007855,2023/24,level,Other undergraduate,400,Swansea University
10083403,2023/24,level,Other undergraduate,0,The Engineering and Design Institute London
10007161,2023/24,level,Other undergraduate,4555,Teesside University
10008017,2023/24,level,Other undergraduate,90,Trinity Laban Conservatoire of Music and Dance
10007858,2023/24,level,Other undergraduate,6365,University of Wales Trinity Saint David
10068157,2023/24,level,Other undergraduate,255,University Centre Peterborough
10007114,2023/24,level,Other undergraduate,4285,University of the Highlands and Islands
10007807,2023/24,level,Other undergraduate,715,Ulster University
10039956,2023/24,level,Other undergraduate,20,The University of Law
10024766,2023/24,level,Other undergraduate,20,Union Foundation
10007784,2023/24,level,Other undergraduate,955,University College London
10007793,2023/24,level,Other undergraduate,3640,University of South Wales
10089591,2023/24,level,Other undergraduate,20,Walbrook Institute London Limited
10029843,2023/24,level,Other undergraduate,10,Waltham International College Limited
10007163,2023/24,level,Other undergraduate,175,The University of Warwick
10007361,2023/24,level,Other undergraduate,20,Waverley Abbey College
10007164,2023/24,level,Other undergraduate,800,"University of the West of England, Bristol"
10007800,2023/24,level,Other undergraduate,1435,The University of the West of Scotland
10032288,2023/24,level,Other undergraduate,105,West Dean College
10006566,2023/24,level,Other undergraduate,820,The University of West London
10007165,2023/24,level,Other undergraduate,1160,The University of Westminster
10003614,2023/24,level,Other undergraduate,65,The University of Winchester
10007166,2023/24,level,Other undergraduate,700,The University of Wolverhampton
10007139,2023/24,level,Other undergraduate,690,University of Worcester
10007833,2023/24,level,Other undergraduate,2380,Wrexham University
10007657,2023/24,level,Other undergraduate,120,Writtle University College
10007713,2023/24,level,Other undergraduate,10,York St John University
10007167,2023/24,level,Other undergraduate,295,The University of York
10008071,2024/25,level,Postgraduate (research),25,AA School of Architecture
10007783,2024/25,level,Postgraduate (research),990,The University of Aberdeen
10007849,2024/25,level,Postgraduate (research),80,Abertay University
10007856,2024/25,level,Postgraduate (research),295,Aberystwyth University
10000291,2024/25,level,Postgraduate (research),620,Anglia Ruskin University
10007759,2024/25,level,Postgraduate (research),390,Aston University
10007857,2024/25,level,Postgraduate (research),485,Bangor University
10000571,2024/25,level,Postgraduate (research),105,Bath Spa University
10007850,2024/25,level,Postgraduate (research),1365,The University of Bath
10007152,2024/25,level,Postgraduate (research),135,University of Bedfordshire
10005343,2024/25,level,Postgraduate (research),1805,Queen's University Belfast
10007760,2024/25,level,Postgraduate (research),420,Birkbeck College
10007140,2024/25,level,Postgraduate (research),610,Birmingham City University
10006840,2024/25,level,Postgraduate (research),3245,The University of Birmingham
10007832,2024/25,level,Postgraduate (research),5,Birmingham Newman University
10000894,2024/25,level,Postgraduate (research),15,Bristol Baptist College
10000385,2024/25,level,Postgraduate (research),20,The Arts University Bournemouth
10000824,2024/25,level,Postgraduate (research),530,Bournemouth University
10007785,2024/25,level,Postgraduate (research),235,The University of Bradford
10000886,2024/25,level,Postgraduate (research),350,The University of Brighton
10007786,2024/25,level,Postgraduate (research),2475,The University of Bristol
10023464,2024/25,level,Postgraduate (research),20,Trinity College Bristol
10000961,2024/25,level,Postgraduate (research),685,Brunel University London
10000975,2024/25,level,Postgraduate (research),35,Buckinghamshire New University
10007787,2024/25,level,Postgraduate (research),335,The University of Buckingham
10007788,2024/25,level,Postgraduate (research),4465,The University of Cambridge
10003324,2024/25,level,Postgraduate (research),200,The Institute of Cancer Research
10001143,2024/25,level,Postgraduate (research),560,Canterbury Christ Church University
10007814,2024/25,level,Postgraduate (research),1565,Cardiff University
10007854,2024/25,level,Postgraduate (research),235,Cardiff Metropolitan University
10007848,2024/25,level,Postgraduate (research),425,University of Chester
10007137,2024/25,level,Postgraduate (research),110,The University of Chichester
10001478,2024/25,level,Postgraduate (research),570,"City St George's, University of London"
10007912,2024/25,level,Postgraduate (research),10,Cliff College
10007761,2024/25,level,Postgraduate (research),50,Courtauld Institute of Art
10001726,2024/25,level,Postgraduate (research),440,Coventry University
10007822,2024/25,level,Postgraduate (research),800,Cranfield University
10006427,2024/25,level,Postgraduate (research),110,University for the Creative Arts
10007842,2024/25,level,Postgraduate (research),85,University of Cumbria
10001883,2024/25,level,Postgraduate (research),355,De Montfort University
10007851,2024/25,level,Postgraduate (research),350,University of Derby
10007852,2024/25,level,Postgraduate (research),615,The University of Dundee
10007143,2024/25,level,Postgraduate (research),1545,University of Durham
10007789,2024/25,level,Postgraduate (research),1100,The University of East Anglia
10007144,2024/25,level,Postgraduate (research),615,The University of East London
10032282,2024/25,level,Postgraduate (research),40,The Queen's Foundation for Ecumenical Theological Education
10007823,2024/25,level,Postgraduate (research),295,Edge Hill University
10007772,2024/25,level,Postgraduate (research),265,Edinburgh Napier University
10007790,2024/25,level,Postgraduate (research),3645,The University of Edinburgh
10007791,2024/25,level,Postgraduate (research),990,The University of Essex
10007792,2024/25,level,Postgraduate (research),2115,The University of Exeter
10008640,2024/25,level,Postgraduate (research),60,Falmouth University
10007762,2024/25,level,Postgraduate (research),250,Glasgow Caledonian University
10002681,2024/25,level,Postgraduate (research),60,Glasgow School of Art
10007794,2024/25,level,Postgraduate (research),3030,The University of Glasgow
10007145,2024/25,level,Postgraduate (research),1150,University of Gloucestershire
10002718,2024/25,level,Postgraduate (research),360,Goldsmiths College
10006841,2024/25,level,Postgraduate (research),1200,University of Greater Manchester
10007146,2024/25,level,Postgraduate (research),390,The University of Greenwich
10007825,2024/25,level,Postgraduate (research),50,Guildhall School of Music and Drama
10040812,2024/25,level,Postgraduate (research),70,Harper Adams University
10080811,2024/25,level,Postgraduate (research),35,Hartpury University
10000163,2024/25,level,Postgraduate (research),15,Health Sciences University
10007764,2024/25,level,Postgraduate (research),785,Heriot-Watt University
10007147,2024/25,level,Postgraduate (research),790,University of Hertfordshire
10007148,2024/25,level,Postgraduate (research),830,The University of Huddersfield
10007149,2024/25,level,Postgraduate (research),515,The University of Hull
10003270,2024/25,level,Postgraduate (research),4365,"Imperial College of Science, Technology and Medicine"
10007767,2024/25,level,Postgraduate (research),425,Keele University
10007150,2024/25,level,Postgraduate (research),740,The University of Kent
10003645,2024/25,level,Postgraduate (research),3510,King's College London
10003678,2024/25,level,Postgraduate (research),385,Kingston University
10007141,2024/25,level,Postgraduate (research),1665,University of Lancashire
10007768,2024/25,level,Postgraduate (research),1535,The University of Lancaster
10003861,2024/25,level,Postgraduate (research),495,Leeds Beckett University
10007795,2024/25,level,Postgraduate (research),2260,The University of Leeds
10003863,2024/25,level,Postgraduate (research),40,Leeds Trinity University
10007796,2024/25,level,Postgraduate (research),1155,The University of Leicester
10007151,2024/25,level,Postgraduate (research),745,The University of Lincoln
10007811,2024/25,level,Postgraduate (research),60,Lincoln Bishop University
10003956,2024/25,level,Postgraduate (research),100,Liverpool Hope University
10003957,2024/25,level,Postgraduate (research),490,Liverpool John Moores University
10006842,2024/25,level,Postgraduate (research),1945,The University of Liverpool
10003958,2024/25,level,Postgraduate (research),55,Liverpool School of Tropical Medicine
10007162,2024/25,level,Postgraduate (research),290,"University of the Arts, London"
10007769,2024/25,level,Postgraduate (research),95,London Business School
10007797,2024/25,level,Postgraduate (research),100,University of London (Institutes and activities)
10004048,2024/25,level,Postgraduate (research),185,London Metropolitan University
10004078,2024/25,level,Postgraduate (research),260,London South Bank University
10004063,2024/25,level,Postgraduate (research),540,London School of Economics and Political Science
10007771,2024/25,level,Postgraduate (research),415,London School of Hygiene and Tropical Medicine
10004075,2024/25,level,Postgraduate (research),15,London School of Theology
10004113,2024/25,level,Postgraduate (research),1120,Loughborough University
10009612,2024/25,level,Postgraduate (research),5,Luther King House Educational Trust
10004180,2024/25,level,Postgraduate (research),615,The Manchester Metropolitan University
10007798,2024/25,level,Postgraduate (research),4415,The University of Manchester
10004351,2024/25,level,Postgraduate (research),845,Middlesex University
10004538,2024/25,level,Postgraduate (research),15,Nazarene Theological College
10007799,2024/25,level,Postgraduate (research),1940,Newcastle University
10048199,2024/25,level,Postgraduate (research),40,Northeastern University London
10007138,2024/25,level,Postgraduate (research),235,The University of Northampton
10001282,2024/25,level,Postgraduate (research),705,University of Northumbria at Newcastle
10004775,2024/25,level,Postgraduate (research),15,Norwich University of the Arts
10007154,2024/25,level,Postgraduate (research),2355,University of Nottingham
10004797,2024/25,level,Postgraduate (research),600,The Nottingham Trent University
10007773,2024/25,level,Postgraduate (research),590,The Open University
10004930,2024/25,level,Postgraduate (research),355,Oxford Brookes University
10007774,2024/25,level,Postgraduate (research),5610,The University of Oxford
10007801,2024/25,level,Postgraduate (research),560,University of Plymouth
10007155,2024/25,level,Postgraduate (research),850,The University of Portsmouth
10005337,2024/25,level,Postgraduate (research),120,"Queen Margaret University, Edinburgh"
10007775,2024/25,level,Postgraduate (research),1495,Queen Mary University of London
10007802,2024/25,level,Postgraduate (research),980,The University of Reading
10005500,2024/25,level,Postgraduate (research),185,Robert Gordon University
10007776,2024/25,level,Postgraduate (research),265,Roehampton University
10007835,2024/25,level,Postgraduate (research),15,Royal Academy of Music
10005545,2024/25,level,Postgraduate (research),40,Royal Agricultural University
10007777,2024/25,level,Postgraduate (research),120,Royal College of Art
10007778,2024/25,level,Postgraduate (research),55,Royal College of Music
10005561,2024/25,level,Postgraduate (research),40,Royal Conservatoire of Scotland
10007816,2024/25,level,Postgraduate (research),35,The Royal Central School of Speech and Drama
10005553,2024/25,level,Postgraduate (research),510,Royal Holloway and Bedford New College
10007837,2024/25,level,Postgraduate (research),35,Royal Northern College of Music
10007779,2024/25,level,Postgraduate (research),100,The Royal Veterinary College
10007803,2024/25,level,Postgraduate (research),1095,The University of St. Andrews
10007843,2024/25,level,Postgraduate (research),220,"St Mary's University, Twickenham"
10007156,2024/25,level,Postgraduate (research),365,The University of Salford
10007780,2024/25,level,Postgraduate (research),310,SOAS University of London
10005700,2024/25,level,Postgraduate (research),25,SRUC
10005790,2024/25,level,Postgraduate (research),455,Sheffield Hallam University
10007157,2024/25,level,Postgraduate (research),2490,The University of Sheffield
10007158,2024/25,level,Postgraduate (research),2390,The University of Southampton
10006022,2024/25,level,Postgraduate (research),40,Southampton Solent University
10006299,2024/25,level,Postgraduate (research),340,University of Staffordshire
10007804,2024/25,level,Postgraduate (research),475,The University of Stirling
10037449,2024/25,level,Postgraduate (research),25,University of St Mark and St John
10008010,2024/25,level,Postgraduate (research),15,Stranmillis University College
10007805,2024/25,level,Postgraduate (research),1635,The University of Strathclyde
10014001,2024/25,level,Postgraduate (research),110,University of Suffolk
10007159,2024/25,level,Postgraduate (research),200,The University of Sunderland
10007160,2024/25,level,Postgraduate (research),1280,The University of Surrey
10007806,2024/25,level,Postgraduate (research),965,The University of Sussex
10007855,2024/25,level,Postgraduate (research),795,Swansea University
10020381,2024/25,level,Postgraduate (research),290,Tavistock and Portman NHS Foundation Trust
10007161,2024/25,level,Postgraduate (research),400,Teesside University
10008017,2024/25,level,Postgraduate (research),20,Trinity Laban Conservatoire of Music and Dance
10007858,2024/25,level,Postgraduate (research),330,University of Wales Trinity Saint David
10007114,2024/25,level,Postgraduate (research),140,University of the Highlands and Islands
10007807,2024/25,level,Postgraduate (research),620,Ulster University
10007784,2024/25,level,Postgraduate (research),6340,University College London
10007793,2024/25,level,Postgraduate (research),255,University of South Wales
10007163,2024/25,level,Postgraduate (research),1590,The University of Warwick
10007164,2024/25,level,Postgraduate (research),530,"University of the West of England, Bristol"
10007800,2024/25,level,Postgraduate (research),290,The University of the West of Scotland
10006566,2024/25,level,Postgraduate (research),295,The University of West London
10007165,2024/25,level,Postgraduate (research),215,The University of Westminster
10003614,2024/25,level,Postgraduate (research),130,The University of Winchester
10007166,2024/25,level,Postgraduate (research),1220,The University of Wolverhampton
10007139,2024/25,level,Postgraduate (research),145,University of Worcester
10007833,2024/25,level,Postgraduate (research),75,Wrexham University
10007713,2024/25,level,Postgraduate (research),425,York St John University
10007167,2024/25,level,Postgraduate (research),1435,The University of York
10008071,2024/25,level,Postgraduate (taught),355,AA School of Architecture
10007783,2024/25,level,Postgraduate (taught),3125,The University of Aberdeen
10007849,2024/25,level,Postgraduate (taught),1095,Abertay University
10007856,2024/25,level,Postgraduate (taught),1295,Aberystwyth University
10067853,2024/25,level,Postgraduate (taught),30,ACM Guildford Limited
10032036,2024/25,level,Postgraduate (taught),45,Amity University [IN] London
10000291,2024/25,level,Postgraduate (taught),8615,Anglia Ruskin University
10005451,2024/25,level,Postgraduate (taught),3655,Arden University
10000381,2024/25,level,Postgraduate (taught),30,Arts Educational Schools
10008899,2024/25,level,Postgraduate (taught),430,The Ashridge (Bonar Law Memorial) Trust
10003212,2024/25,level,Postgraduate (taught),575,Hult International Business School Ltd
10007759,2024/25,level,Postgraduate (taught),4745,Aston University
10007857,2024/25,level,Postgraduate (taught),2785,Bangor University
10000571,2024/25,level,Postgraduate (taught),1425,Bath Spa University
10007850,2024/25,level,Postgraduate (taught),3170,The University of Bath
10007152,2024/25,level,Postgraduate (taught),2165,University of Bedfordshire
10005343,2024/25,level,Postgraduate (taught),5065,Queen's University Belfast
10037544,2024/25,level,Postgraduate (taught),250,BIMM University
10007810,2024/25,level,Postgraduate (taught),15,Birmingham Christian College
10007760,2024/25,level,Postgraduate (taught),2805,Birkbeck College
10007140,2024/25,level,Postgraduate (taught),6805,Birmingham City University
10006840,2024/25,level,Postgraduate (taught),11255,The University of Birmingham
10000712,2024/25,level,Postgraduate (taught),1030,University College Birmingham
10007832,2024/25,level,Postgraduate (taught),720,Birmingham Newman University
10000894,2024/25,level,Postgraduate (taught),10,Bristol Baptist College
10004061,2024/25,level,Postgraduate (taught),185,Bloomsbury Institute
10000385,2024/25,level,Postgraduate (taught),325,The Arts University Bournemouth
10000824,2024/25,level,Postgraduate (taught),3625,Bournemouth University
10031982,2024/25,level,Postgraduate (taught),24850,BPP University
10007785,2024/25,level,Postgraduate (taught),2705,The University of Bradford
10000886,2024/25,level,Postgraduate (taught),2905,The University of Brighton
10007786,2024/25,level,Postgraduate (taught),6095,The University of Bristol
10023464,2024/25,level,Postgraduate (taught),35,Trinity College Bristol
10000961,2024/25,level,Postgraduate (taught),3260,Brunel University London
10000975,2024/25,level,Postgraduate (taught),1865,Buckinghamshire New University
10008173,2024/25,level,Postgraduate (taught),1285,University of the Built Environment
10007787,2024/25,level,Postgraduate (taught),1310,The University of Buckingham
10010308,2024/25,level,Postgraduate (taught),10,Cambridge Arts and Sciences Limited
10007788,2024/25,level,Postgraduate (taught),4755,The University of Cambridge
10032072,2024/25,level,Postgraduate (taught),30,The Cambridge Theological Federation
10003324,2024/25,level,Postgraduate (taught),165,The Institute of Cancer Research
10001143,2024/25,level,Postgraduate (taught),2430,Canterbury Christ Church University
10007814,2024/25,level,Postgraduate (taught),5300,Cardiff University
10007854,2024/25,level,Postgraduate (taught),2620,Cardiff Metropolitan University
10001264,2024/25,level,Postgraduate (taught),5,Central School of Ballet
10021550,2024/25,level,Postgraduate (taught),410,Centre for Alternative Technology
10024024,2024/25,level,Postgraduate (taught),25,Central Film School
10007848,2024/25,level,Postgraduate (taught),4875,University of Chester
10007137,2024/25,level,Postgraduate (taught),1670,The University of Chichester
10026921,2024/25,level,Postgraduate (taught),15,Christ the Redeemer College
10001478,2024/25,level,Postgraduate (taught),7190,"City St George's, University of London"
10007912,2024/25,level,Postgraduate (taught),30,Cliff College
10066502,2024/25,level,Postgraduate (taught),45,The College of Health Ltd
10081618,2024/25,level,Postgraduate (taught),475,The Council of the Inns of Court
10007761,2024/25,level,Postgraduate (taught),305,Courtauld Institute of Art
10001726,2024/25,level,Postgraduate (taught),9365,Coventry University
10007822,2024/25,level,Postgraduate (taught),3750,Cranfield University
10006427,2024/25,level,Postgraduate (taught),1045,University for the Creative Arts
10007842,2024/25,level,Postgraduate (taught),2455,University of Cumbria
10001883,2024/25,level,Postgraduate (taught),5460,De Montfort University
10007851,2024/25,level,Postgraduate (taught),4070,University of Derby
10007852,2024/25,level,Postgraduate (taught),3030,The University of Dundee
10007143,2024/25,level,Postgraduate (taught),3045,University of Durham
10067355,2024/25,level,Postgraduate (taught),15,Dyson Technical Training Limited
10007789,2024/25,level,Postgraduate (taught),3310,The University of East Anglia
10007144,2024/25,level,Postgraduate (taught),11095,The University of East London
10032282,2024/25,level,Postgraduate (taught),85,The Queen's Foundation for Ecumenical Theological Education
10007823,2024/25,level,Postgraduate (taught),3240,Edge Hill University
10007772,2024/25,level,Postgraduate (taught),3285,Edinburgh Napier University
10007790,2024/25,level,Postgraduate (taught),9580,The University of Edinburgh
10032295,2024/25,level,Postgraduate (taught),20,Emmanuel Theological College
10042570,2024/25,level,Postgraduate (taught),130,Escape Studios
10007791,2024/25,level,Postgraduate (taught),3720,The University of Essex
10002313,2024/25,level,Postgraduate (taught),710,ESCP Europe Business School
10007792,2024/25,level,Postgraduate (taught),7490,The University of Exeter
10008640,2024/25,level,Postgraduate (taught),1135,Falmouth University
10045476,2024/25,level,Postgraduate (taught),175,Met Film School Limited
10004511,2024/25,level,Postgraduate (taught),585,The National Film and Television School
10007762,2024/25,level,Postgraduate (taught),6430,Glasgow Caledonian University
10002681,2024/25,level,Postgraduate (taught),810,Glasgow School of Art
10007794,2024/25,level,Postgraduate (taught),11380,The University of Glasgow
10007145,2024/25,level,Postgraduate (taught),1410,University of Gloucestershire
10002718,2024/25,level,Postgraduate (taught),3060,Goldsmiths College
10006841,2024/25,level,Postgraduate (taught),3535,University of Greater Manchester
10007146,2024/25,level,Postgraduate (taught),9585,The University of Greenwich
10007825,2024/25,level,Postgraduate (taught),335,Guildhall School of Music and Drama
10040812,2024/25,level,Postgraduate (taught),580,Harper Adams University
10080811,2024/25,level,Postgraduate (taught),250,Hartpury University
10000163,2024/25,level,Postgraduate (taught),760,Health Sciences University
10007764,2024/25,level,Postgraduate (taught),2170,Heriot-Watt University
10007147,2024/25,level,Postgraduate (taught),19515,University of Hertfordshire
10007148,2024/25,level,Postgraduate (taught),2665,The University of Huddersfield
10007149,2024/25,level,Postgraduate (taught),5165,The University of Hull
10003239,2024/25,level,Postgraduate (taught),50,ICON College of Technology and Management
10003270,2024/25,level,Postgraduate (taught),6080,"Imperial College of Science, Technology and Medicine"
10003284,2024/25,level,Postgraduate (taught),5,Inchbald School of Design Limited
10013220,2024/25,level,Postgraduate (taught),235,Institute of Art - London Limited
10067388,2024/25,level,Postgraduate (taught),75,The Institute of Ismaili Studies
10035638,2024/25,level,Postgraduate (taught),180,Institute of Contemporary Music Performance
10029682,2024/25,level,Postgraduate (taught),45,The Islamic College
10067601,2024/25,level,Postgraduate (taught),5,JSA Education Group Ltd.
10021682,2024/25,level,Postgraduate (taught),825,Kaplan Open Learning (Essex) Limited
10007767,2024/25,level,Postgraduate (taught),3270,Keele University
10007150,2024/25,level,Postgraduate (taught),1990,The University of Kent
10083476,2024/25,level,Postgraduate (taught),25,The King's Foundation
10003645,2024/25,level,Postgraduate (taught),14155,King's College London
10003678,2024/25,level,Postgraduate (taught),3625,Kingston University
10003758,2024/25,level,Postgraduate (taught),180,LAMDA Limited
10007141,2024/25,level,Postgraduate (taught),4975,University of Lancashire
10007768,2024/25,level,Postgraduate (taught),3150,The University of Lancaster
10003854,2024/25,level,Postgraduate (taught),95,Leeds Arts University
10003861,2024/25,level,Postgraduate (taught),5500,Leeds Beckett University
10034449,2024/25,level,Postgraduate (taught),60,Leeds Conservatoire
10007795,2024/25,level,Postgraduate (taught),6165,The University of Leeds
10003863,2024/25,level,Postgraduate (taught),1245,Leeds Trinity University
10082828,2024/25,level,Postgraduate (taught),465,College of Legal Practice Limited
10007796,2024/25,level,Postgraduate (taught),3160,The University of Leicester
10007151,2024/25,level,Postgraduate (taught),5980,The University of Lincoln
10007811,2024/25,level,Postgraduate (taught),455,Lincoln Bishop University
10036456,2024/25,level,Postgraduate (taught),15,Academy of Live Technology Ltd
10003956,2024/25,level,Postgraduate (taught),805,Liverpool Hope University
10003957,2024/25,level,Postgraduate (taught),4890,Liverpool John Moores University
10003945,2024/25,level,Postgraduate (taught),45,The Liverpool Institute for Performing Arts
10006842,2024/25,level,Postgraduate (taught),5615,The University of Liverpool
10003958,2024/25,level,Postgraduate (taught),155,Liverpool School of Tropical Medicine
10007820,2024/25,level,Postgraduate (taught),45,Grŵp Llandrillo Menai
10007162,2024/25,level,Postgraduate (taught),6105,"University of the Arts, London"
10007769,2024/25,level,Postgraduate (taught),2180,London Business School
10007797,2024/25,level,Postgraduate (taught),1645,University of London (Institutes and activities)
10039082,2024/25,level,Postgraduate (taught),70,City and Guilds of London Art School
10004036,2024/25,level,Postgraduate (taught),300,London Film School Limited
10004048,2024/25,level,Postgraduate (taught),3450,London Metropolitan University
10004078,2024/25,level,Postgraduate (taught),3040,London South Bank University
10004063,2024/25,level,Postgraduate (taught),6620,London School of Economics and Political Science
10007771,2024/25,level,Postgraduate (taught),525,London School of Hygiene and Tropical Medicine
10022285,2024/25,level,Postgraduate (taught),35,London School of Management Education
10004075,2024/25,level,Postgraduate (taught),65,London School of Theology
10004079,2024/25,level,Postgraduate (taught),20,London Studio Centre
10029147,2024/25,level,Postgraduate (taught),5,London School of Jewish Studies
10062810,2024/25,level,Postgraduate (taught),125,The London School of Architecture
10004035,2024/25,level,Postgraduate (taught),60,The Film Education Training Trust Limited
10067623,2024/25,level,Postgraduate (taught),55,The London Interdisciplinary School Ltd
10004113,2024/25,level,Postgraduate (taught),2350,Loughborough University
10009612,2024/25,level,Postgraduate (taught),35,Luther King House Educational Trust
10004180,2024/25,level,Postgraduate (taught),6485,The Manchester Metropolitan University
10007798,2024/25,level,Postgraduate (taught),11320,The University of Manchester
10009527,2024/25,level,Postgraduate (taught),465,Istituto Marangoni Limited
10023452,2024/25,level,Postgraduate (taught),30,The Markfield Institute of Higher Education
10020416,2024/25,level,Postgraduate (taught),35,Missio Dei
10030776,2024/25,level,Postgraduate (taught),65,St Mellitus College
10004320,2024/25,level,Postgraduate (taught),370,The Metanoia Institute
10004351,2024/25,level,Postgraduate (taught),3710,Middlesex University
10032277,2024/25,level,Postgraduate (taught),160,The Minster Centre
10049370,2024/25,level,Postgraduate (taught),75,MLA College
10004450,2024/25,level,Postgraduate (taught),105,Mountview Academy of Theatre Arts
10023454,2024/25,level,Postgraduate (taught),75,Moorlands College
10000216,2024/25,level,Postgraduate (taught),10,All Nations Christian College Limited
10090839,2024/25,level,Postgraduate (taught),835,National Institute of Teaching
10004538,2024/25,level,Postgraduate (taught),40,Nazarene Theological College
10030129,2024/25,level,Postgraduate (taught),30,Nelson College London Ltd
10023456,2024/25,level,Postgraduate (taught),65,Newbold College
10007799,2024/25,level,Postgraduate (taught),4040,Newcastle University
10048199,2024/25,level,Postgraduate (taught),345,Northeastern University London
10007138,2024/25,level,Postgraduate (taught),2585,The University of Northampton
10008816,2024/25,level,Postgraduate (taught),55,Northern School of Contemporary Dance
10004740,2024/25,level,Postgraduate (taught),30,Northern College of Acupuncture
10001282,2024/25,level,Postgraduate (taught),8230,University of Northumbria at Newcastle
10004775,2024/25,level,Postgraduate (taught),105,Norwich University of the Arts
10007154,2024/25,level,Postgraduate (taught),5695,University of Nottingham
10004797,2024/25,level,Postgraduate (taught),4970,The Nottingham Trent University
10007773,2024/25,level,Postgraduate (taught),6290,The Open University
10004930,2024/25,level,Postgraduate (taught),4015,Oxford Brookes University
10007774,2024/25,level,Postgraduate (taught),6255,The University of Oxford
10083464,2024/25,level,Postgraduate (taught),45,Peking University HSBC Business School UK Campus
10004028,2024/25,level,Postgraduate (taught),45,"The Place, London Contemporary Dance School (LCDS)"
10005127,2024/25,level,Postgraduate (taught),75,Arts University Plymouth
10007801,2024/25,level,Postgraduate (taught),2925,University of Plymouth
10007155,2024/25,level,Postgraduate (taught),5200,The University of Portsmouth
10005337,2024/25,level,Postgraduate (taught),2640,"Queen Margaret University, Edinburgh"
10007775,2024/25,level,Postgraduate (taught),6625,Queen Mary University of London
10009292,2024/25,level,Postgraduate (taught),25,Royal Academy of Dramatic Art
10005544,2024/25,level,Postgraduate (taught),15,Royal Academy of Dance
10005378,2024/25,level,Postgraduate (taught),5,Rambert School
10005389,2024/25,level,Postgraduate (taught),1700,Ravensbourne University London
10005470,2024/25,level,Postgraduate (taught),285,"Richmond, The American International University in London"
10007802,2024/25,level,Postgraduate (taught),6260,The University of Reading
10086591,2024/25,level,Postgraduate (taught),960,Regent's University London Limited
10021100,2024/25,level,Postgraduate (taught),40,Regents Theological College
10008455,2024/25,level,Postgraduate (taught),3390,Regent College London
10005500,2024/25,level,Postgraduate (taught),4505,Robert Gordon University
10007776,2024/25,level,Postgraduate (taught),4595,Roehampton University
10005523,2024/25,level,Postgraduate (taught),115,Rose Bruford College of Theatre and Performance
10007835,2024/25,level,Postgraduate (taught),375,Royal Academy of Music
10005545,2024/25,level,Postgraduate (taught),125,Royal Agricultural University
10007777,2024/25,level,Postgraduate (taught),2285,Royal College of Art
10007778,2024/25,level,Postgraduate (taught),450,Royal College of Music
10005561,2024/25,level,Postgraduate (taught),315,Royal Conservatoire of Scotland
10007816,2024/25,level,Postgraduate (taught),340,The Royal Central School of Speech and Drama
10005553,2024/25,level,Postgraduate (taught),1670,Royal Holloway and Bedford New College
10007837,2024/25,level,Postgraduate (taught),315,Royal Northern College of Music
10007779,2024/25,level,Postgraduate (taught),355,The Royal Veterinary College
10007803,2024/25,level,Postgraduate (taught),1365,The University of St. Andrews
10008026,2024/25,level,Postgraduate (taught),215,St Mary's University College
10007843,2024/25,level,Postgraduate (taught),1840,"St Mary's University, Twickenham"
10007156,2024/25,level,Postgraduate (taught),6685,The University of Salford
